Title,Book Type,Publish Date,Link to book
The Mammoth Book of Body Horror,Anthology,March 2012,https://stephenking.com/works//works/anthology/mammoth-book-of-body-horror.html
The Man Who Loved Flowers,Short Story,December 1977,https://stephenking.com/works//works/short/man-who-loved-flowers.html
The Man Who Would Not Shake Hands,Short Story,June 1985,https://stephenking.com/works//works/short/man-who-would-not-shake-hands.html
Man With a Belly,Short Story,Uncollected,https://stephenking.com/works//works/short/man-with-a-belly.html
The Man in the Black Suit,Short Story,March 2002,https://stephenking.com/works//works/short/man-in-the-black-suit.html
The Mangler,Short Story,December 1977,https://stephenking.com/works//works/short/mangler.html
Masques II,Anthology,June 1987,https://stephenking.com/works//works/anthology/masques-ii.html
McSweeney's Mammoth Treasury of Thrilling Tales,Anthology,March 2003,https://stephenking.com/works//works/anthology/mcsweeneys-mammoth-treasury-of-thrilling-tales.html
Mid-Life Confidential: The Rock Bottom Remainders Tour America With Three Chords and an Attitude,Nonfiction,December 1993,https://stephenking.com/works//works/nonfiction/mid-life-confidential-the-rock-bottom-remainders-tour-america-with-three-chords-and-an-attitude.html
Midnight Graffiti,Anthology,October 1992,https://stephenking.com/works//works/anthology/midnight-graffiti.html
Mile 81,Short Story,November 2015,https://stephenking.com/works//works/short/mile-81.html
Misery,Limited Edition,February 2018,https://stephenking.com/works//works/limited/misery.html
Misery,Novel,June 1987,https://stephenking.com/works//works/novel/misery.html
The Mist,Novella,"August 29th, 1980",https://stephenking.com/works//works/novella/mist.html
Mister Yummy,Short Story,November 2015,https://stephenking.com/works//works/short/mister-yummy.html
Modern Masters of Horror,Anthology,July 1981,https://stephenking.com/works//works/anthology/modern-masters-of-horror.html
The Monkey,Short Story,June 1985,https://stephenking.com/works//works/short/monkey.html
Morality,Short Story,November 2015,https://stephenking.com/works//works/short/morality.html
More Tales of Unknown Horror,Anthology,December 1978,https://stephenking.com/works//works/anthology/more-tales-of-unknown-horror.html
Morning Deliveries (Milkman #1),Short Story,June 1985,https://stephenking.com/works//works/short/morning-deliveries-(milkman-1).html
Most Overrated Rock Band,Essay,Uncollected,https://stephenking.com/works//works/essay/most-overrated-rock-band.html
Mostly Old Men,Poem,Uncollected,https://stephenking.com/works//works/poem/mostly-old-men.html
The Moving Finger,Short Story,October 1993,https://stephenking.com/works//works/short/moving-finger.html
Mr. Harrigan's Phone,Novella,"April 21st, 2020",https://stephenking.com/works//works/novella/mr-harrigans-phone.html
Mr. Mercedes,Novel,June 2014,https://stephenking.com/works//works/novel/mr-mercedes.html
Mrs. Todd's Shortcut,Short Story,June 1985,https://stephenking.com/works//works/short/mrs-todds-shortcut.html
The Music Room,Short Story,December 2016,https://stephenking.com/works//works/short/music-room.html
Mute,Short Story,November 2008,https://stephenking.com/works//works/short/mute.html
My Pretty Pony (Trade Edition),Limited Edition,September 1989,https://stephenking.com/works//works/limited/my-pretty-pony-(trade-edition).html
My Pretty Pony,Limited Edition,December 1987,https://stephenking.com/works//works/limited/my-pretty-pony.html
My Pretty Pony,Short Story,October 1993,https://stephenking.com/works//works/short/my-pretty-pony.html
N.,Short Story,November 2008,https://stephenking.com/works//works/short/n.html
Needful Things,Novel,October 1991,https://stephenking.com/works//works/novel/needful-things.html
New Adventures of Sherlock Holmes,Anthology,December 1985,https://stephenking.com/works//works/anthology/new-adventures-of-sherlock-holmes.html
The New Lieutenant's Rap,Limited Edition,April 1999,https://stephenking.com/works//works/limited/new-lieutenants-rap.html
New Tales of the Cthulhu Mythos,Anthology,December 1979,https://stephenking.com/works//works/anthology/new-tales-of-the-cthulhu-mythos.html
New Terrors Omnibus,Anthology,July 1985,https://stephenking.com/works//works/anthology/new-terrors-omnibus.html
The New York Times at Special Bargain Rates,Short Story,November 2008,https://stephenking.com/works//works/short/new-york-times-at-special-bargain-rates.html
The Night Flier,Short Story,October 1993,https://stephenking.com/works//works/short/night-flier.html
Night Shift,Story Collection,December 1977,https://stephenking.com/works//works/collection/night-shift.html
Night Surf,Short Story,December 1977,https://stephenking.com/works//works/short/night-surf.html
Night Visions 5,Anthology,December 1987,https://stephenking.com/works//works/anthology/night-visions-5.html
The Night of the Tiger,Short Story,December 1978,https://stephenking.com/works//works/short/night-of-the-tiger.html
Nightmares & Dreamscapes,Story Collection,October 1993,https://stephenking.com/works//works/collection/nightmares-dreamscapes.html
Nightmares in the Sky,Nonfiction,December 1987,https://stephenking.com/works//works/nonfiction/nightmares-in-the-sky.html
Nightmares,Anthology,December 1978,https://stephenking.com/works//works/anthology/nightmares.html
Nona,Short Story,June 1985,https://stephenking.com/works//works/short/nona.html
N,Novella,"November 11th, 2008",https://stephenking.com/works//works/novella/n.html
Obits,Short Story,November 2015,https://stephenking.com/works//works/short/obits.html
The Old Dude's Ticker,Short Story,Uncollected,https://stephenking.com/works//works/short/old-dudes-ticker.html
On Becoming a Brand Name,Essay,June 1984,https://stephenking.com/works//works/essay/on-becoming-a-brand-name.html
On Slide Inn Road,Short Story,Uncollected,https://stephenking.com/works//works/short/on-slide-inn-road.html
On The Shining and Other Perpetrations,Essay,Uncollected,https://stephenking.com/works//works/essay/on-the-shining-and-other-perpetrations.html
On Writing: A Memoir of the Craft,Nonfiction,December 1999,https://stephenking.com/works//works/nonfiction/on-writing-a-memoir-of-the-craft.html
One for the Road,Short Story,December 1977,https://stephenking.com/works//works/short/one-for-the-road.html
The Outsider,Novel,May 2018,https://stephenking.com/works//works/novel/outsider.html
Paranoid: A Chant,Poem,June 1985,https://stephenking.com/works//works/poem/paranoid-a-chant.html
Pet Sematary,Novel,November 1983,https://stephenking.com/works//works/novel/pet-sematary.html
Peter Straub: An Informal Appreciation,Essay,Uncollected,https://stephenking.com/works//works/essay/peter-straub-an-informal-appreciation.html
The Plant [Installment One],Limited Edition,November 1982,https://stephenking.com/works//works/limited/plant-installment-one.html
The Plant [Installment Three],Limited Edition,December 1984,https://stephenking.com/works//works/limited/plant-installment-three.html
The Plant [Installment Two],Limited Edition,December 1982,https://stephenking.com/works//works/limited/plant-installment-two.html
Popsy,Short Story,October 1993,https://stephenking.com/works//works/short/popsy.html
PostScripts,Anthology,February 2009,https://stephenking.com/works//works/anthology/postscripts.html
Premium Harmony,Short Story,November 2015,https://stephenking.com/works//works/short/premium-harmony.html
Prime Evil,Anthology,June 1988,https://stephenking.com/works//works/anthology/prime-evil.html
Prime Mover: Stephen and Tabitha King,Interview,October 2015,https://stephenking.com/works//works/interview/prime-mover-stephen-and-tabitha-king.html
Qualia Nous,Anthology,December 2013,https://stephenking.com/works//works/anthology/qualia-nous.html
Quitters Inc.,Short Story,December 1977,https://stephenking.com/works//works/short/quitters-inc.html
The Raft,Short Story,June 1985,https://stephenking.com/works//works/short/raft.html
Rage,Bachman Novel,December 1976,https://stephenking.com/works//works/novel/rage.html
Rainy Season,Short Story,October 1993,https://stephenking.com/works//works/short/rainy-season.html
Rat,Novella,"April 21st, 2020",https://stephenking.com/works//works/novella/rat.html
The Reach,Short Story,June 1985,https://stephenking.com/works//works/short/reach.html
The Reaper's Image,Short Story,June 1985,https://stephenking.com/works//works/short/reapers-image.html
Red Screen,Short Story,Uncollected,https://stephenking.com/works//works/short/red-screen.html
The Regulators,Bachman Novel,December 1995,https://stephenking.com/works//works/novel/regulators.html
The Regulators,Limited Edition,December 1995,https://stephenking.com/works//works/limited/regulators.html
The Reploids,Short Story,December 1987,https://stephenking.com/works//works/short/reploids.html
Rest Stop,Short Story,November 2008,https://stephenking.com/works//works/short/rest-stop.html
The Revelations of 'Becka Paulson,Short Story,December 1990,https://stephenking.com/works//works/short/revelations-of-becka-paulson.html
Revival,Novel,November 2014,https://stephenking.com/works//works/novel/revival.html
Revival,Limited Edition,December 2019,https://stephenking.com/works//works/limited/revival.html
Riding the Bullet,Short Story,March 2002,https://stephenking.com/works//works/short/riding-the-bullet.html
The Ring,Essay,Uncollected,https://stephenking.com/works//works/essay/ring.html
Rita Hayworth and Shawshank Redemption,Novella,"August 27th, 1982",https://stephenking.com/works//works/novella/rita-hayworth-and-shawshank-redemption.html
The Road Virus Heads North,Short Story,March 2002,https://stephenking.com/works//works/short/road-virus-heads-north.html
Roadwork,Bachman Novel,December 1980,https://stephenking.com/works//works/novel/roadwork.html
Rose Madder,Limited Edition,December 1994,https://stephenking.com/works//works/limited/rose-madder.html
Rose Madder,Novel,June 1995,https://stephenking.com/works//works/novel/rose-madder.html
The Running Man,Bachman Novel,December 1981,https://stephenking.com/works//works/novel/running-man.html
Rush Call,Short Story,December 1999,https://stephenking.com/works//works/short/rush-call.html
SCREEM #22,Interview,April 2011,https://stephenking.com/works//works/interview/screem-22.html
"Secret Window, Secret Garden",Novella,"September 24th, 1990",https://stephenking.com/works//works/novella/secret-window-secret-garden.html
Secret Windows: Essays and Fiction on the Craft of Writing,Nonfiction,December 1999,https://stephenking.com/works//works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html
"The Secretary of Dreams, Vol. 1",Limited Edition,December 2005,https://stephenking.com/works//works/limited/secretary-of-dreams-vol-1.html
"The Secretary of Dreams, Vol. 2",Limited Edition,October 2010,https://stephenking.com/works//works/limited/secretary-of-dreams-vol-2.html
Shadows 4,Anthology,December 1999,https://stephenking.com/works//works/anthology/shadows-4.html
Shadows,Anthology,December 1980,https://stephenking.com/works//works/anthology/shadows.html
Shining in the Dark,Anthology,March 2018,https://stephenking.com/works//works/anthology/shining-in-the-dark.html
The Shining,Limited Edition,December 2012,https://stephenking.com/works//works/limited/shining.html
The Shining,Novel,January 1977,https://stephenking.com/works//works/novel/shining.html
Shivers VII,Anthology,December 2012,https://stephenking.com/works//works/anthology/shivers-vii.html
Shivers VI,Anthology,December 2009,https://stephenking.com/works//works/anthology/shivers-vi.html
Shock Rock,Anthology,December 1990,https://stephenking.com/works//works/anthology/shock-rock.html
Silence,Poem,April 2004,https://stephenking.com/works//works/poem/silence.html
Six Stories,Limited Edition,December 1996,https://stephenking.com/works//works/limited/six-stories.html
Skeleton Crew,Limited Edition,December 1984,https://stephenking.com/works//works/limited/skeleton-crew.html
Skeleton Crew,Story Collection,June 1985,https://stephenking.com/works//works/collection/skeleton-crew.html
Sleeping Beauties,Novel,"September 26th, 2017",https://stephenking.com/works//works/novel/sleeping-beauties.html
Sneakers,Short Story,October 1993,https://stephenking.com/works//works/short/sneakers.html
Something to Tide You Over,Short Story,Uncollected,https://stephenking.com/works//works/short/something-to-tide-you-over.html
Sometimes They Come Back,Short Story,December 1977,https://stephenking.com/works//works/short/sometimes-they-come-back.html
"Sorry, Right Number",Screenplay,October 1993,https://stephenking.com/works//works/screenplay/sorry-right-number.html
Special Makeup Effects and the Writer,Essay,Uncollected,https://stephenking.com/works//works/essay/special-makeup-effects-and-the-writer.html
The Stand,Novel,October 1978,https://stephenking.com/works//works/novel/stand.html
The Stand: The Complete & Uncut Edition,Novel,May 1990,https://stephenking.com/works//works/novel/stand-the-complete-uncut-edition.html
The Stand: The Complete and Uncut Edition,Limited Edition,December 1989,https://stephenking.com/works//works/limited/stand-the-complete-and-uncut-edition.html
Stationary Bike,Short Story,November 2008,https://stephenking.com/works//works/short/stationary-bike.html
Stephen King Goes to the Movies,Story Collection,January 2009,https://stephenking.com/works//works/collection/stephen-king-goes-to-the-movies.html
Stephen King Goes to the Movies,Limited Edition,April 2009,https://stephenking.com/works//works/limited/stephen-king-goes-to-the-movies.html
Stephen King Q&A,Interview,December 2001,https://stephenking.com/works//works/interview/stephen-king-qa.html
Storm of the Century,Screenplay,February 1999,https://stephenking.com/works//works/screenplay/storm-of-the-century.html
Strange Maine,Anthology,December 1985,https://stephenking.com/works//works/anthology/strange-maine.html
Strawberry Spring,Short Story,December 1977,https://stephenking.com/works//works/short/strawberry-spring.html
Suffer the Little Children,Short Story,October 1993,https://stephenking.com/works//works/short/suffer-the-little-children.html
Summer Thunder,Short Story,November 2015,https://stephenking.com/works//works/short/summer-thunder.html
The Sun Dog,Novella,"September 24th, 1990",https://stephenking.com/works//works/novella/sun-dog.html
Survivor Type,Short Story,June 1985,https://stephenking.com/works//works/short/survivor-type.html
The Tale of Gray Dick,Short Story,March 2003,https://stephenking.com/works//works/short/tale-of-gray-dick.html
Tales of Unknown Horror,Anthology,December 1977,https://stephenking.com/works//works/anthology/tales-of-unknown-horror.html
Tales of the Dead,Anthology,December 1979,https://stephenking.com/works//works/anthology/tales-of-the-dead.html
The Talisman,Limited Edition,December 1983,https://stephenking.com/works//works/limited/talisman.html
The Talisman,Novel,November 1984,https://stephenking.com/works//works/novel/talisman.html
The Ten O'Clock People,Short Story,October 1993,https://stephenking.com/works//works/short/ten-o-clock-people.html
Terrors,Anthology,December 1981,https://stephenking.com/works//works/anthology/terrors.html
That Bus Is Another World,Short Story,Uncollected,https://stephenking.com/works//works/short/that-bus-is-another-world.html
"That Feeling, You Can Only Say What It Is in French",Short Story,March 2002,https://stephenking.com/works//works/short/that-feeling-you-can-only-say-what-it-is-in-french.html
They're Creeping Up on You,Short Story,Uncollected,https://stephenking.com/works//works/short/they-re-creeping-up-on-you.html
Thin Scenery,Short Story,Uncollected,https://stephenking.com/works//works/short/thin-scenery.html
The Things They Left Behind,Short Story,November 2008,https://stephenking.com/works//works/short/things-they-left-behind.html
Thinner,Bachman Novel,November 1984,https://stephenking.com/works//works/novel/thinner.html
"Thrilling, Chilling Tales of Alien Encounters",Anthology,December 2004,https://stephenking.com/works//works/anthology/thrilling-chilling-tales-of-alien-encounters.html
Throttle,Short Story,March 2009,https://stephenking.com/works//works/short/throttle.html
The Tommyknockers,Novel,November 1987,https://stephenking.com/works//works/novel/tommyknockers.html
Tommy,Poem,November 2015,https://stephenking.com/works//works/poem/tommy.html
Transgressions,Anthology,December 2004,https://stephenking.com/works//works/anthology/transgressions.html
Trucks,Short Story,December 1977,https://stephenking.com/works//works/short/trucks.html
The Turbulence Expert,Short Story,September 2018,https://stephenking.com/works//works/short/turbulence-expert.html
Turn Down the Lights,Anthology,December 2013,https://stephenking.com/works//works/anthology/turn-down-the-lights.html
Turning the Thumbscrews on the Reader,Essay,December 1999,https://stephenking.com/works//works/essay/turning-the-thumbscrews-on-the-reader.html
"Two Past Midnight: A Note on Secret Window, Secret Garden",Essay,December 1999,https://stephenking.com/works//works/essay/two-past-midnight-a-note-on-secret-window-secret-garden.html
UR,Novella,"February 12th, 2009",https://stephenking.com/works//works/novella/ur.html
Umney's Last Case,Short Story,October 1993,https://stephenking.com/works//works/short/umneys-last-case.html
Uncle Otto's Truck,Short Story,June 1985,https://stephenking.com/works//works/short/uncle-ottos-truck.html
Under the Dome,Novel,November 2009,https://stephenking.com/works//works/novel/under-the-dome.html
Under the Weather,Short Story,November 2015,https://stephenking.com/works//works/short/under-the-weather.html
Vermont Library Conference/VEMA Annual Meeting: The Bogeyboys,Speech,"May 26th, 1999",https://stephenking.com/works//works/speech/vermont-library-conference-vema-annual-meeting-the-bogeyboys.html
The Very Best of Best New Horror,Anthology,December 2009,https://stephenking.com/works//works/anthology/very-best-of-best-new-horror.html
The Weapon,Essay,Uncollected,https://stephenking.com/works//works/essay/weapon.html
The Wedding Gig,Short Story,June 1985,https://stephenking.com/works//works/short/wedding-gig.html
Weeds,Short Story,December 2014,https://stephenking.com/works//works/short/weeds.html
The Weird,Anthology,December 2010,https://stephenking.com/works//works/anthology/weird.html
What Stephen King Does for Love,Essay,December 1999,https://stephenking.com/works//works/essay/what-stephen-king-does-for-love.html
What's Scary,Essay,Uncollected,https://stephenking.com/works//works/essay/whats-scary.html
Why We're in Vietnam,Novella,"September 14th, 1999",https://stephenking.com/works//works/novella/why-we-re-in-vietnam.html
Willa,Short Story,November 2008,https://stephenking.com/works//works/short/willa.html
Willie the Weirdo,Short Story,Uncollected,https://stephenking.com/works//works/short/willie-the-weirdo.html
Woman - An Anthology,Anthology,October 2014,https://stephenking.com/works//works/anthology/woman-an-anthology.html
The Woman in the Room,Short Story,December 1977,https://stephenking.com/works//works/short/woman-in-the-room.html
Word Processor of the Gods,Short Story,June 1985,https://stephenking.com/works//works/short/word-processor-of-the-gods.html
Year's Best Fantasy & Horror,Anthology,December 1994,https://stephenking.com/works//works/anthology/years-best-fantasy-horror.html
Year's Best Horror Stories - Series IX,Anthology,December 1980,https://stephenking.com/works//works/anthology/years-best-horror-stories-series-ix.html
You Know They Got a Hell of a Band,Short Story,October 1993,https://stephenking.com/works//works/short/you-know-they-got-a-hell-of-a-band.html
Zombies! Zombies! Zombies!,Anthology,December 2010,https://stephenking.com/works//works/anthology/zombies!-zombies!-zombies!.html
