Title,Book Type,Publish Date,Link to book
The Book of Lists #3,Anthology,January 1983,https://stephenking.com/works//works/anthology/book-of-lists-3.html
The Book of the Dead,Anthology,December 1988,https://stephenking.com/works//works/anthology/book-of-the-dead.html
The Book-Banners: Adventure in Censorship is Stranger Than Fiction,Essay,Uncollected,https://stephenking.com/works//works/essay/book-banners-adventure-in-censorship-is-stranger-than-fiction.html
Borderlands 5,Anthology,December 2002,https://stephenking.com/works//works/anthology/borderlands-5.html
The Breathing Method,Novella,"August 27th, 1982",https://stephenking.com/works//works/novella/breathing-method.html
Brooklyn August,Poem,October 1993,https://stephenking.com/works//works/poem/brooklyn-august.html
Cain Rose Up,Short Story,June 1985,https://stephenking.com/works//works/short/cain-rose-up.html
The Cannibals,Unpublished,December 1981,https://stephenking.com/works//works/unpublished/cannibals.html
Carrie,Novel,"April 5th, 1974",https://stephenking.com/works//works/novel/carrie.html
Carrie,Limited Edition,December 2013,https://stephenking.com/works//works/limited/carrie.html
The Cat from Hell,Short Story,November 2008,https://stephenking.com/works//works/short/cat-from-hell.html
Cat's Eye,Unpublished,December 1984,https://stephenking.com/works//works/unpublished/cats-eye.html
Cell,Novel,"January 24th, 2006",https://stephenking.com/works//works/novel/cell.html
The Century's Best Horror Fiction Volume Two,Anthology,December 2010,https://stephenking.com/works//works/anthology/centurys-best-horror-fiction-volume-two.html
Chattery Teeth,Short Story,October 1993,https://stephenking.com/works//works/short/chattery-teeth.html
Children of the Corn,Short Story,December 1977,https://stephenking.com/works//works/short/children-of-the-corn.html
Chinga,Unpublished,December 1997,https://stephenking.com/works//works/unpublished/chinga.html
Chiral Mad,Anthology,December 2015,https://stephenking.com/works//works/anthology/chiral-mad.html
Christine,Limited Edition,December 1982,https://stephenking.com/works//works/limited/christine.html
Christine,Novel,"April 29th, 1983",https://stephenking.com/works//works/novel/christine.html
The Chronicles of Harris Burdick,Anthology,October 2012,https://stephenking.com/works//works/anthology/chronicles-of-harris-burdick.html
The Color of Evil (Dark Descent),Anthology,December 1990,https://stephenking.com/works//works/anthology/color-of-evil-(dark-descent).html
The Colorado Kid (Chadbourne),Limited Edition,December 2006,https://stephenking.com/works//works/limited/colorado-kid-(chadbourne).html
The Colorado Kid (Miller),Limited Edition,December 2006,https://stephenking.com/works//works/limited/colorado-kid-(miller).html
The Colorado Kid (Potter),Limited Edition,December 2006,https://stephenking.com/works//works/limited/colorado-kid-(potter).html
The Colorado Kid,Novel,October 2005,https://stephenking.com/works//works/novel/colorado-kid.html
The Complete Masters of Darkness,Anthology,December 1989,https://stephenking.com/works//works/anthology/complete-masters-of-darkness.html
Contemporary Maine Fiction,Anthology,December 2004,https://stephenking.com/works//works/anthology/contemporary-maine-fiction.html
Cookie Jar,Short Story,Uncollected,https://stephenking.com/works//works/short/cookie-jar.html
The Crate,Short Story,December 1980,https://stephenking.com/works//works/short/crate.html
Crouch End,Short Story,October 1993,https://stephenking.com/works//works/short/crouch-end.html
Cujo,Limited Edition,September 1981,https://stephenking.com/works//works/limited/cujo.html
Cujo,Novel,"September 8th, 1981",https://stephenking.com/works//works/novel/cujo.html
"Cults: An Anthology of Secret Societies, Sects and the Supernatural",Anthology,November 1983,https://stephenking.com/works//works/anthology/cults-an-anthology-of-secret-societies-sects-and-the-supernatural.html
Cycle of the Werewolf,Limited Edition,December 1982,https://stephenking.com/works//works/limited/cycle-of-the-werewolf.html
Cycle of the Werewolf,Novel,April 1985,https://stephenking.com/works//works/novel/cycle-of-the-werewolf.html
Danse Macabre,Limited Edition,December 1980,https://stephenking.com/works//works/limited/danse-macabre.html
Danse Macabre,Nonfiction,December 1980,https://stephenking.com/works//works/nonfiction/danse-macabre.html
Dark Descent,Anthology,October 1987,https://stephenking.com/works//works/anthology/dark-descent.html
Dark Forces,Anthology,August 1980,https://stephenking.com/works//works/anthology/dark-forces.html
The Dark Half,Novel,November 1989,https://stephenking.com/works//works/novel/dark-half.html
Dark Love,Anthology,August 1996,https://stephenking.com/works//works/anthology/dark-love.html
The Dark Man,Poem,April 2004,https://stephenking.com/works//works/poem/dark-man.html
The Dark Man,Limited Edition,July 2013,https://stephenking.com/works//works/limited/dark-man.html
Dark Screams: Volume One,Anthology,December 2014,https://stephenking.com/works//works/anthology/dark-screams-volume-one.html
Dark Thoughts on Writing,Anthology,December 1996,https://stephenking.com/works//works/anthology/dark-thoughts-on-writing.html
The Dark Tower,Limited Edition,December 2003,https://stephenking.com/works//works/limited/dark-tower.html
The Dark Tower,Novel,September 2004,https://stephenking.com/works//works/novel/dark-tower.html
The Dark Tower: Song of Susannah,Limited Edition,December 2003,https://stephenking.com/works//works/limited/dark-tower-song-of-susannah.html
The Dark Tower: Song of Susannah,Novel,June 2004,https://stephenking.com/works//works/novel/dark-tower-song-of-susannah.html
The Dark Tower: The Drawing of the Three,Limited Edition,December 1986,https://stephenking.com/works//works/limited/dark-tower-the-drawing-of-the-three.html
The Dark Tower: The Drawing of the Three,Novel,May 1987,https://stephenking.com/works//works/novel/dark-tower-the-drawing-of-the-three.html
The Dark Tower: The Gunslinger (Revised),Novel,June 2003,https://stephenking.com/works//works/novel/dark-tower-the-gunslinger-(revised).html
The Dark Tower: The Gunslinger,Limited Edition,December 1981,https://stephenking.com/works//works/limited/dark-tower-the-gunslinger.html
The Dark Tower: The Gunslinger,Novel,June 1982,https://stephenking.com/works//works/novel/dark-tower-the-gunslinger.html
The Dark Tower: The Waste Lands,Limited Edition,December 1990,https://stephenking.com/works//works/limited/dark-tower-the-waste-lands.html
The Dark Tower: The Waste Lands,Novel,August 1991,https://stephenking.com/works//works/novel/dark-tower-the-waste-lands.html
The Dark Tower: The Wind Through the Keyhole,Limited Edition,February 2012,https://stephenking.com/works//works/limited/dark-tower-the-wind-through-the-keyhole.html
The Dark Tower: The Wind Through the Keyhole,Novel,April 2012,https://stephenking.com/works//works/novel/dark-tower-the-wind-through-the-keyhole.html
The Dark Tower: Wizard and Glass (I),Limited Edition,December 1996,https://stephenking.com/works//works/limited/dark-tower-wizard-and-glass-(i).html
The Dark Tower: Wizard and Glass (II),Limited Edition,December 1996,https://stephenking.com/works//works/limited/dark-tower-wizard-and-glass-(ii).html
The Dark Tower: Wizard and Glass,Novel,November 1997,https://stephenking.com/works//works/novel/dark-tower-wizard-and-glass.html
The Dark Tower: Wolves of the Calla,Limited Edition,December 2002,https://stephenking.com/works//works/limited/dark-tower-wolves-of-the-calla.html
The Dark Tower: Wolves of the Calla,Novel,November 2003,https://stephenking.com/works//works/novel/dark-tower-wolves-of-the-calla.html
Darkness,Anthology,December 2009,https://stephenking.com/works//works/anthology/darkness.html
The Dead Zone,Novel,August 1979,https://stephenking.com/works//works/novel/dead-zone.html
The Death of Jack Hamilton,Short Story,March 2002,https://stephenking.com/works//works/short/death-of-jack-hamilton.html
Death,Anthology,December 1981,https://stephenking.com/works//works/anthology/death.html
Dedication,Short Story,October 1993,https://stephenking.com/works//works/short/dedication.html
Demons,Anthology,December 1986,https://stephenking.com/works//works/anthology/demons.html
Desperation/The Regulators (Box Set),Limited Edition,December 1995,https://stephenking.com/works//works/limited/desperation-the-regulators-(box-set).html
Desperation,Limited Edition,December 1995,https://stephenking.com/works//works/limited/desperation.html
Desperation,Novel,"September 24th, 1996",https://stephenking.com/works//works/novel/desperation.html
The Devil's Wine,Anthology,April 2004,https://stephenking.com/works//works/anthology/devils-wine.html
Different Seasons,Story Collection,August 1982,https://stephenking.com/works//works/collection/different-seasons.html
The Do-It-Yourself Bestseller: A Workbook,Anthology,December 1981,https://stephenking.com/works//works/anthology/do-it-yourself-bestseller-a-workbook.html
Doctor Sleep,Limited Edition,September 2013,https://stephenking.com/works//works/limited/doctor-sleep.html
Doctor Sleep,Novel,"September 24th, 2013",https://stephenking.com/works//works/novel/doctor-sleep.html
The Doctor's Case,Short Story,October 1993,https://stephenking.com/works//works/short/doctors-case.html
